FlightID,RouteCode,Origin,Destination,FlightDate,FlightDurationMins,AircraftType,SeatsAvailable,SeatsSold,Revenue,OperationalCost
1,RT0001,New York,London,2025-01-03,420,Boeing 777,300,270,185000.0,120000.0
2,RT0002,Mumbai,Dubai,2025-01-05,180,Airbus A320,180,160,72000.0,45000.0
3,RT0003,London,Paris,2025-01-07,90,Boeing 737,160,140,35000.0,22000.0
4,RT0004,Sydney,Singapore,2025-01-10,480,Airbus A350,320,290,210000.0,150000.0
5,RT0005,Delhi,Bangkok,2025-01-12,240,Boeing 787,250,220,98000.0,65000.0
6,RT0006,Toronto,Berlin,2025-01-15,510,Boeing 777,310,275,190000.0,130000.0
7,RT0007,Dubai,Tokyo,2025-01-18,540,Airbus A350,330,300,225000.0,160000.0
8,RT0008,Singapore,Mumbai,2025-01-20,300,Boeing 737,170,150,65000.0,40000.0
9,RT0009,Paris,New York,2025-01-22,450,Boeing 787,280,240,175000.0,120000.0
10,RT0010,Berlin,Delhi,2025-01-25,480,Airbus A320,200,170,82000.0,50000.0
11,RT0011,New York,London,2025-01-12 00:00:00,180,Boeing 777,190,165,66500.0,41000.0
12,RT0012,Mumbai,Dubai,2025-01-13 00:00:00,240,Airbus A320,230,200,68000.0,42000.0
13,RT0013,London,Paris,2025-01-14 00:00:00,300,Boeing 737,270,235,69500.0,43000.0
14,RT0014,Sydney,Singapore,2025-01-15 00:00:00,360,Airbus A350,310,270,71000.0,44000.0
15,RT0015,Delhi,Bangkok,2025-01-16 00:00:00,420,Boeing 787,150,130,72500.0,45000.0
16,RT0016,Toronto,Berlin,2025-01-17 00:00:00,480,Boeing 777,190,165,74000.0,46000.0
17,RT0017,Dubai,Tokyo,2025-01-18 00:00:00,540,Airbus A350,230,200,75500.0,47000.0
18,RT0018,Singapore,Mumbai,2025-01-19 00:00:00,600,Boeing 737,270,235,77000.0,48000.0
19,RT0019,Paris,New York,2025-01-20 00:00:00,660,Boeing 787,310,270,78500.0,49000.0
20,RT0020,Berlin,Delhi,2025-01-21 00:00:00,120,Airbus A320,150,130,80000.0,50000.0
21,RT0021,New York,London,2025-01-22 00:00:00,180,Boeing 777,190,165,81500.0,51000.0
22,RT0022,Mumbai,Dubai,2025-01-23 00:00:00,240,Airbus A320,230,200,83000.0,52000.0
23,RT0023,London,Paris,2025-01-24 00:00:00,300,Boeing 737,270,235,84500.0,53000.0
24,RT0024,Sydney,Singapore,2025-01-25 00:00:00,360,Airbus A350,310,270,86000.0,54000.0
25,RT0025,Delhi,Bangkok,2025-01-26 00:00:00,420,Boeing 787,150,130,87500.0,55000.0
26,RT0026,Toronto,Berlin,2025-01-27 00:00:00,480,Boeing 777,190,165,89000.0,56000.0
